<<<<<<< HEAD
﻿cyear,cntyr,ccode,scode,country,year,un_region,un_continent,reg_id,demo_nr,demo_r,regime_r,regime_nr,duration_nr,duration_r,personal,personal2,lindex,exname,change,tdate,trans,occup,interreg
2002011,United Kingdom 2011,200,UKG,United Kingdom,2011,Northern Europe,Europe,20001,1,1,Democracy,Democracy,180,180,NA,NA,NA,David Cameron,0,,0,0,0
2002012,United Kingdom 2012,200,UKG,United Kingdom,2012,Northern Europe,Europe,20001,1,1,Democracy,Democracy,181,181,NA,NA,NA,David Cameron,0,,0,0,0
2051950,Ireland 1950,205,IRE,Ireland,1950,Northern Europe,Europe,20501,1,1,Democracy,Democracy,30,29,NA,NA,NA,John Costello,0,12.06.1921,0,0,0
2051951,Ireland 1951,205,IRE,Ireland,1951,Northern Europe,Europe,20501,1,1,Democracy,Democracy,31,30,NA,NA,NA,Eamon de Valera,0,,0,0,0
2051952,Ireland 1952,205,IRE,Ireland,1952,Northern Europe,Europe,20501,1,1,Democracy,Democracy,32,31,NA,NA,NA,Eamon de Valera,0,,0,0,0
2051953,Ireland 1953,205,IRE,Ireland,1953,Northern Europe,Europe,20501,1,1,Democracy,Democracy,33,32,NA,NA,NA,Eamon de Valera,0,,0,0,0
2051954,Ireland 1954,205,IRE,Ireland,1954,Northern Europe,Europe,20501,1,1,Democracy,Democracy,34,33,NA,NA,NA,John Costello,0,,0,0,0
2051955,Ireland 1955,205,IRE,Ireland,1955,Northern Europe,Europe,20501,1,1,Democracy,Democracy,35,34,NA,NA,NA,John Costello,0,,0,0,0
2051956,Ireland 1956,205,IRE,Ireland,1956,Northern Europe,Europe,20501,1,1,Democracy,Democracy,36,35,NA,NA,NA,John Costello,0,,0,0,0
2051957,Ireland 1957,205,IRE,Ireland,1957,Northern Europe,Europe,20501,1,1,Democracy,Democracy,37,36,NA,NA,NA,Eamon de Valera,0,,0,0,0
2051958,Ireland 1958,205,IRE,Ireland,1958,Northern Europe,Europe,20501,1,1,Democracy,Democracy,38,37,NA,NA,NA,Eamon de Valera,0,,0,0,0
2051959,Ireland 1959,205,IRE,Ireland,1959,Northern Europe,Europe,20501,1,1,Democracy,Democracy,39,38,NA,NA,NA,Sean Lemass,0,,0,0,0
2051960,Ireland 1960,205,IRE,Ireland,1960,Northern Europe,Europe,20501,1,1,Democracy,Democracy,40,39,NA,NA,NA,Sean Lemass,0,,0,0,0
2051961,Ireland 1961,205,IRE,Ireland,1961,Northern Europe,Europe,20501,1,1,Democracy,Democracy,41,40,NA,NA,NA,Sean Lemass,0,,0,0,0
2051962,Ireland 1962,205,IRE,Ireland,1962,Northern Europe,Europe,20501,1,1,Democracy,Democracy,42,41,NA,NA,NA,Sean Lemass,0,,0,0,0
2051963,Ireland 1963,205,IRE,Ireland,1963,Northern Europe,Europe,20501,1,1,Democracy,Democracy,43,42,NA,NA,NA,Sean Lemass,0,,0,0,0
2051964,Ireland 1964,205,IRE,Ireland,1964,Northern Europe,Europe,20501,1,1,Democracy,Democracy,44,43,NA,NA,NA,Sean Lemass,0,,0,0,0
2051965,Ireland 1965,205,IRE,Ireland,1965,Northern Europe,Europe,20501,1,1,Democracy,Democracy,45,44,NA,NA,NA,Sean Lemass,0,,0,0,0
2051966,Ireland 1966,205,IRE,Ireland,1966,Northern Europe,Europe,20501,1,1,Democracy,Democracy,46,45,NA,NA,NA,John Lynch,0,,0,0,0
2051967,Ireland 1967,205,IRE,Ireland,1967,Northern Europe,Europe,20501,1,1,Democracy,Democracy,47,46,NA,NA,NA,John Lynch,0,,0,0,0
2051968,Ireland 1968,205,IRE,Ireland,1968,Northern Europe,Europe,20501,1,1,Democracy,Democracy,48,47,NA,NA,NA,John Lynch,0,,0,0,0
2051969,Ireland 1969,205,IRE,Ireland,1969,Northern Europe,Europe,20501,1,1,Democracy,Democracy,49,48,NA,NA,NA,John Lynch,0,,0,0,0
2051970,Ireland 1970,205,IRE,Ireland,1970,Northern Europe,Europe,20501,1,1,Democracy,Democracy,50,49,NA,NA,NA,John Lynch,0,,0,0,0
2051971,Ireland 1971,205,IRE,Ireland,1971,Northern Europe,Europe,20501,1,1,Democracy,Democracy,51,50,NA,NA,NA,John Lynch,0,,0,0,0
2051972,Ireland 1972,205,IRE,Ireland,1972,Northern Europe,Europe,20501,1,1,Democracy,Democracy,52,51,NA,NA,NA,John Lynch,0,,0,0,0
2051973,Ireland 1973,205,IRE,Ireland,1973,Northern Europe,Europe,20501,1,1,Democracy,Democracy,53,52,NA,NA,NA,Liam Cosgrave,0,,0,0,0
2051974,Ireland 1974,205,IRE,Ireland,1974,Northern Europe,Europe,20501,1,1,Democracy,Democracy,54,53,NA,NA,NA,Liam Cosgrave,0,,0,0,0
2051975,Ireland 1975,205,IRE,Ireland,1975,Northern Europe,Europe,20501,1,1,Democracy,Democracy,55,54,NA,NA,NA,Liam Cosgrave,0,,0,0,0
2051976,Ireland 1976,205,IRE,Ireland,1976,Northern Europe,Europe,20501,1,1,Democracy,Democracy,56,55,NA,NA,NA,Liam Cosgrave,0,,0,0,0
2051977,Ireland 1977,205,IRE,Ireland,1977,Northern Europe,Europe,20501,1,1,Democracy,Democracy,57,56,NA,NA,NA,John Lynch,0,,0,0,0
2051978,Ireland 1978,205,IRE,Ireland,1978,Northern Europe,Europe,20501,1,1,Democracy,Democracy,58,57,NA,NA,NA,John Lynch,0,,0,0,0
2051979,Ireland 1979,205,IRE,Ireland,1979,Northern Europe,Europe,20501,1,1,Democracy,Democracy,59,58,NA,NA,NA,Charles Haughey,0,,0,0,0
2051980,Ireland 1980,205,IRE,Ireland,1980,Northern Europe,Europe,20501,1,1,Democracy,Democracy,60,59,NA,NA,NA,Charles Haughey,0,,0,0,0
2051981,Ireland 1981,205,IRE,Ireland,1981,Northern Europe,Europe,20501,1,1,Democracy,Democracy,61,60,NA,NA,NA,Garret Fitzgerald,0,,0,0,0
2051982,Ireland 1982,205,IRE,Ireland,1982,Northern Europe,Europe,20501,1,1,Democracy,Democracy,62,61,NA,NA,NA,Garret Fitzgerald,0,,0,0,0
2051983,Ireland 1983,205,IRE,Ireland,1983,Northern Europe,Europe,20501,1,1,Democracy,Democracy,63,62,NA,NA,NA,Garret Fitzgerald,0,,0,0,0
2051984,Ireland 1984,205,IRE,Ireland,1984,Northern Europe,Europe,20501,1,1,Democracy,Democracy,64,63,NA,NA,NA,Garret Fitzgerald,0,,0,0,0
2051985,Ireland 1985,205,IRE,Ireland,1985,Northern Europe,Europe,20501,1,1,Democracy,Democracy,65,64,NA,NA,NA,Garret Fitzgerald,0,,0,0,0
2051986,Ireland 1986,205,IRE,Ireland,1986,Northern Europe,Europe,20501,1,1,Democracy,Democracy,66,65,NA,NA,NA,Garret Fitzgerald,0,,0,0,0
2051987,Ireland 1987,205,IRE,Ireland,1987,Northern Europe,Europe,20501,1,1,Democracy,Democracy,67,66,NA,NA,NA,Charles Haughey,0,,0,0,0
2051988,Ireland 1988,205,IRE,Ireland,1988,Northern Europe,Europe,20501,1,1,Democracy,Democracy,68,67,NA,NA,NA,Charles Haughey,0,,0,0,0
2051989,Ireland 1989,205,IRE,Ireland,1989,Northern Europe,Europe,20501,1,1,Democracy,Democracy,69,68,NA,NA,NA,Charles Haughey,0,,0,0,0
2051990,Ireland 1990,205,IRE,Ireland,1990,Northern Europe,Europe,20501,1,1,Democracy,Democracy,70,69,NA,NA,NA,Charles Haughey,0,,0,0,0
2051991,Ireland 1991,205,IRE,Ireland,1991,Northern Europe,Europe,20501,1,1,Democracy,Democracy,71,70,NA,NA,NA,Charles Haughey,0,,0,0,0
2051992,Ireland 1992,205,IRE,Ireland,1992,Northern Europe,Europe,20501,1,1,Democracy,Democracy,72,71,NA,NA,NA,Albert Reynolds,0,,0,0,0
2051993,Ireland 1993,205,IRE,Ireland,1993,Northern Europe,Europe,20501,1,1,Democracy,Democracy,73,72,NA,NA,NA,Albert Reynolds,0,,0,0,0
2051994,Ireland 1994,205,IRE,Ireland,1994,Northern Europe,Europe,20501,1,1,Democracy,Democracy,74,73,NA,NA,NA,John Bruton,0,,0,0,0
2051995,Ireland 1995,205,IRE,Ireland,1995,Northern Europe,Europe,20501,1,1,Democracy,Democracy,75,74,NA,NA,NA,John Bruton,0,,0,0,0
2051996,Ireland 1996,205,IRE,Ireland,1996,Northern Europe,Europe,20501,1,1,Democracy,Democracy,76,75,NA,NA,NA,John Bruton,0,,0,0,0
2051997,Ireland 1997,205,IRE,Ireland,1997,Northern Europe,Europe,20501,1,1,Democracy,Democracy,77,76,NA,NA,NA,Bertie Ahern,0,,0,0,0
2051998,Ireland 1998,205,IRE,Ireland,1998,Northern Europe,Europe,20501,1,1,Democracy,Democracy,78,77,NA,NA,NA,Bertie Ahern,0,,0,0,0
2051999,Ireland 1999,205,IRE,Ireland,1999,Northern Europe,Europe,20501,1,1,Democracy,Democracy,79,78,NA,NA,NA,Bertie Ahern,0,,0,0,0
2052000,Ireland 2000,205,IRE,Ireland,2000,Northern Europe,Europe,20501,1,1,Democracy,Democracy,80,79,NA,NA,NA,Bertie Ahern,0,,0,0,0
2052001,Ireland 2001,205,IRE,Ireland,2001,Northern Europe,Europe,20501,1,1,Democracy,Democracy,81,80,NA,NA,NA,Bertie Ahern,0,,0,0,0
2052002,Ireland 2002,205,IRE,Ireland,2002,Northern Europe,Europe,20501,1,1,Democracy,Democracy,82,81,NA,NA,NA,Bertie Ahern,0,,0,0,0
2052003,Ireland 2003,205,IRE,Ireland,2003,Northern Europe,Europe,20501,1,1,Democracy,Democracy,83,82,NA,NA,NA,Bertie Ahern,0,,0,0,0
2052004,Ireland 2004,205,IRE,Ireland,2004,Northern Europe,Europe,20501,1,1,Democracy,Democracy,84,83,NA,NA,NA,Bertie Ahern,0,,0,0,0
2052005,Ireland 2005,205,IRE,Ireland,2005,Northern Europe,Europe,20501,1,1,Democracy,Democracy,85,84,NA,NA,NA,Bertie Ahern,0,,0,0,0
2052006,Ireland 2006,205,IRE,Ireland,2006,Northern Europe,Europe,20501,1,1,Democracy,Democracy,86,85,NA,NA,NA,Bertie Ahern,0,,0,0,0
2052007,Ireland 2007,205,IRE,Ireland,2007,Northern Europe,Europe,20501,1,1,Democracy,Democracy,87,86,NA,NA,NA,Bertie Ahern,0,,0,0,0
2052008,Ireland 2008,205,IRE,Ireland,2008,Northern Europe,Europe,20501,1,1,Democracy,Democracy,88,87,NA,NA,NA,Brian Cowen,0,,0,0,0
2052009,Ireland 2009,205,IRE,Ireland,2009,Northern Europe,Europe,20501,1,1,Democracy,Democracy,89,88,NA,NA,NA,Brian Cowen,0,,0,0,0
2052010,Ireland 2010,205,IRE,Ireland,2010,Northern Europe,Europe,20501,1,1,Democracy,Democracy,90,89,NA,NA,NA,Brian Cowen,0,,0,0,0
2052011,Ireland 2011,205,IRE,Ireland,2011,Northern Europe,Europe,20501,1,1,Democracy,Democracy,91,90,NA,NA,NA,Enda Kenny,0,,0,0,0
2052012,Ireland 2012,205,IRE,Ireland,2012,Northern Europe,Europe,20501,1,1,Democracy,Democracy,92,91,NA,NA,NA,Enda Kenny,0,,0,0,0
2101950,Netherlands 1950,210,NTH,Netherlands,1950,Western Europe,Europe,21001,1,1,Democracy,Democracy,6,6,NA,NA,NA,Willem Drees,0,05.05.1945,0,0,0
2101951,Netherlands 1951,210,NTH,Netherlands,1951,Western Europe,Europe,21001,1,1,Democracy,Democracy,7,7,NA,NA,NA,Willem Drees,0,,0,0,0
2101952,Netherlands 1952,210,NTH,Netherlands,1952,Western Europe,Europe,21001,1,1,Democracy,Democracy,8,8,NA,NA,NA,Willem Drees,0,,0,0,0
2101953,Netherlands 1953,210,NTH,Netherlands,1953,Western Europe,Europe,21001,1,1,Democracy,Democracy,9,9,NA,NA,NA,Willem Drees,0,,0,0,0
2101954,Netherlands 1954,210,NTH,Netherlands,1954,Western Europe,Europe,21001,1,1,Democracy,Democracy,10,10,NA,NA,NA,Willem Drees,0,,0,0,0
2101955,Netherlands 1955,210,NTH,Netherlands,1955,Western Europe,Europe,21001,1,1,Democracy,Democracy,11,11,NA,NA,NA,Willem Drees,0,,0,0,0
2101956,Netherlands 1956,210,NTH,Netherlands,1956,Western Europe,Europe,21001,1,1,Democracy,Democracy,12,12,NA,NA,NA,Willem Drees,0,,0,0,0
2101957,Netherlands 1957,210,NTH,Netherlands,1957,Western Europe,Europe,21001,1,1,Democracy,Democracy,13,13,NA,NA,NA,Willem Drees,0,,0,0,0
2101958,Netherlands 1958,210,NTH,Netherlands,1958,Western Europe,Europe,21001,1,1,Democracy,Democracy,14,14,NA,NA,NA,Louis Beel,0,,0,0,0
2101959,Netherlands 1959,210,NTH,Netherlands,1959,Western Europe,Europe,21001,1,1,Democracy,Democracy,15,15,NA,NA,NA,Jan de Quay,0,,0,0,0
2101960,Netherlands 1960,210,NTH,Netherlands,1960,Western Europe,Europe,21001,1,1,Democracy,Democracy,16,16,NA,NA,NA,Jan de Quay,0,,0,0,0
2101961,Netherlands 1961,210,NTH,Netherlands,1961,Western Europe,Europe,21001,1,1,Democracy,Democracy,17,17,NA,NA,NA,Jan de Quay,0,,0,0,0
2101962,Netherlands 1962,210,NTH,Netherlands,1962,Western Europe,Europe,21001,1,1,Democracy,Democracy,18,18,NA,NA,NA,Jan de Quay,0,,0,0,0
2101963,Netherlands 1963,210,NTH,Netherlands,1963,Western Europe,Europe,21001,1,1,Democracy,Democracy,19,19,NA,NA,NA,Victor Marijnen,0,,0,0,0
2101964,Netherlands 1964,210,NTH,Netherlands,1964,Western Europe,Europe,21001,1,1,Democracy,Democracy,20,20,NA,NA,NA,Victor Marijnen,0,,0,0,0
2101965,Netherlands 1965,210,NTH,Netherlands,1965,Western Europe,Europe,21001,1,1,Democracy,Democracy,21,21,NA,NA,NA,Joseph Cals,0,,0,0,0
2101966,Netherlands 1966,210,NTH,Netherlands,1966,Western Europe,Europe,21001,1,1,Democracy,Democracy,22,22,NA,NA,NA,Joseph Cals,0,,0,0,0
2101967,Netherlands 1967,210,NTH,Netherlands,1967,Western Europe,Europe,21001,1,1,Democracy,Democracy,23,23,NA,NA,NA,Petrus de Jong,0,,0,0,0
2101968,Netherlands 1968,210,NTH,Netherlands,1968,Western Europe,Europe,21001,1,1,Democracy,Democracy,24,24,NA,NA,NA,Petrus de Jong,0,,0,0,0
2101969,Netherlands 1969,210,NTH,Netherlands,1969,Western Europe,Europe,21001,1,1,Democracy,Democracy,25,25,NA,NA,NA,Petrus de Jong,0,,0,0,0
2101970,Netherlands 1970,210,NTH,Netherlands,1970,Western Europe,Europe,21001,1,1,Democracy,Democracy,26,26,NA,NA,NA,Petrus de Jong,0,,0,0,0
2101971,Netherlands 1971,210,NTH,Netherlands,1971,Western Europe,Europe,21001,1,1,Democracy,Democracy,27,27,NA,NA,NA,Barend Biesheuvel,0,,0,0,0
2101972,Netherlands 1972,210,NTH,Netherlands,1972,Western Europe,Europe,21001,1,1,Democracy,Democracy,28,28,NA,NA,NA,Barend Biesheuvel,0,,0,0,0
2101973,Netherlands 1973,210,NTH,Netherlands,1973,Western Europe,Europe,21001,1,1,Democracy,Democracy,29,29,NA,NA,NA,Johannes den Uyl,0,,0,0,0
2101974,Netherlands 1974,210,NTH,Netherlands,1974,Western Europe,Europe,21001,1,1,Democracy,Democracy,30,30,NA,NA,NA,Johannes den Uyl,0,,0,0,0
2101975,Netherlands 1975,210,NTH,Netherlands,1975,Western Europe,Europe,21001,1,1,Democracy,Democracy,31,31,NA,NA,NA,Johannes den Uyl,0,,0,0,0
2101976,Netherlands 1976,210,NTH,Netherlands,1976,Western Europe,Europe,21001,1,1,Democracy,Democracy,32,32,NA,NA,NA,Johannes den Uyl,0,,0,0,0
2101977,Netherlands 1977,210,NTH,Netherlands,1977,Western Europe,Europe,21001,1,1,Democracy,Democracy,33,33,NA,NA,NA,Andreas van Agt,0,,0,0,0
2101978,Netherlands 1978,210,NTH,Netherlands,1978,Western Europe,Europe,21001,1,1,Democracy,Democracy,34,34,NA,NA,NA,Andreas van Agt,0,,0,0,0
2101979,Netherlands 1979,210,NTH,Netherlands,1979,Western Europe,Europe,21001,1,1,Democracy,Democracy,35,35,NA,NA,NA,Andreas van Agt,0,,0,0,0
2101980,Netherlands 1980,210,NTH,Netherlands,1980,Western Europe,Europe,21001,1,1,Democracy,Democracy,36,36,NA,NA,NA,Andreas van Agt,0,,0,0,0
2101981,Netherlands 1981,210,NTH,Netherlands,1981,Western Europe,Europe,21001,1,1,Democracy,Democracy,37,37,NA,NA,NA,Andreas van Agt,0,,0,0,0
2101982,Netherlands 1982,210,NTH,Netherlands,1982,Western Europe,Europe,21001,1,1,Democracy,Democracy,38,38,NA,NA,NA,Rudolphus Lubbers,0,,0,0,0
2101983,Netherlands 1983,210,NTH,Netherlands,1983,Western Europe,Europe,21001,1,1,Democracy,Democracy,39,39,NA,NA,NA,Rudolphus Lubbers,0,,0,0,0
2101984,Netherlands 1984,210,NTH,Netherlands,1984,Western Europe,Europe,21001,1,1,Democracy,Democracy,40,40,NA,NA,NA,Rudolphus Lubbers,0,,0,0,0
2101985,Netherlands 1985,210,NTH,Netherlands,1985,Western Europe,Europe,21001,1,1,Democracy,Democracy,41,41,NA,NA,NA,Rudolphus Lubbers,0,,0,0,0
2101986,Netherlands 1986,210,NTH,Netherlands,1986,Western Europe,Europe,21001,1,1,Democracy,Democracy,42,42,NA,NA,NA,Rudolphus Lubbers,0,,0,0,0
2101987,Netherlands 1987,210,NTH,Netherlands,1987,Western Europe,Europe,21001,1,1,Democracy,Democracy,43,43,NA,NA,NA,Rudolphus Lubbers,0,,0,0,0
2101988,Netherlands 1988,210,NTH,Netherlands,1988,Western Europe,Europe,21001,1,1,Democracy,Democracy,44,44,NA,NA,NA,Rudolphus Lubbers,0,,0,0,0
2101989,Netherlands 1989,210,NTH,Netherlands,1989,Western Europe,Europe,21001,1,1,Democracy,Democracy,45,45,NA,NA,NA,Rudolphus Lubbers,0,,0,0,0
2101990,Netherlands 1990,210,NTH,Netherlands,1990,Western Europe,Europe,21001,1,1,Democracy,Democracy,46,46,NA,NA,NA,Rudolphus Lubbers,0,,0,0,0
2101991,Netherlands 1991,210,NTH,Netherlands,1991,Western Europe,Europe,21001,1,1,Democracy,Democracy,47,47,NA,NA,NA,Rudolphus Lubbers,0,,0,0,0
2101992,Netherlands 1992,210,NTH,Netherlands,1992,Western Europe,Europe,21001,1,1,Democracy,Democracy,48,48,NA,NA,NA,Rudolphus Lubbers,0,,0,0,0
2101993,Netherlands 1993,210,NTH,Netherlands,1993,Western Europe,Europe,21001,1,1,Democracy,Democracy,49,49,NA,NA,NA,Rudolphus Lubbers,0,,0,0,0
2101994,Netherlands 1994,210,NTH,Netherlands,1994,Western Europe,Europe,21001,1,1,Democracy,Democracy,50,50,NA,NA,NA,Wim Kok,0,,0,0,0
2101995,Netherlands 1995,210,NTH,Netherlands,1995,Western Europe,Europe,21001,1,1,Democracy,Democracy,51,51,NA,NA,NA,Wim Kok,0,,0,0,0
2101996,Netherlands 1996,210,NTH,Netherlands,1996,Western Europe,Europe,21001,1,1,Democracy,Democracy,52,52,NA,NA,NA,Wim Kok,0,,0,0,0
2101997,Netherlands 1997,210,NTH,Netherlands,1997,Western Europe,Europe,21001,1,1,Democracy,Democracy,53,53,NA,NA,NA,Wim Kok,0,,0,0,0
2101998,Netherlands 1998,210,NTH,Netherlands,1998,Western Europe,Europe,21001,1,1,Democracy,Democracy,54,54,NA,NA,NA,Wim Kok,0,,0,0,0
2101999,Netherlands 1999,210,NTH,Netherlands,1999,Western Europe,Europe,21001,1,1,Democracy,Democracy,55,55,NA,NA,NA,Wim Kok,0,,0,0,0
2102000,Netherlands 2000,210,NTH,Netherlands,2000,Western Europe,Europe,21001,1,1,Democracy,Democracy,56,56,NA,NA,NA,Wim Kok,0,,0,0,0
2102001,Netherlands 2001,210,NTH,Netherlands,2001,Western Europe,Europe,21001,1,1,Democracy,Democracy,57,57,NA,NA,NA,Wim Kok,0,,0,0,0
2102002,Netherlands 2002,210,NTH,Netherlands,2002,Western Europe,Europe,21001,1,1,Democracy,Democracy,58,58,NA,NA,NA,Jan Peter Balkenende,0,,0,0,0
2102003,Netherlands 2003,210,NTH,Netherlands,2003,Western Europe,Europe,21001,1,1,Democracy,Democracy,59,59,NA,NA,NA,Jan Peter Balkenende,0,,0,0,0
2102004,Netherlands 2004,210,NTH,Netherlands,2004,Western Europe,Europe,21001,1,1,Democracy,Democracy,60,60,NA,NA,NA,Jan Peter Balkenende,0,,0,0,0
2102005,Netherlands 2005,210,NTH,Netherlands,2005,Western Europe,Europe,21001,1,1,Democracy,Democracy,61,61,NA,NA,NA,Jan Peter Balkenende,0,,0,0,0
2102006,Netherlands 2006,210,NTH,Netherlands,2006,Western Europe,Europe,21001,1,1,Democracy,Democracy,62,62,NA,NA,NA,Jan Peter Balkenende,0,,0,0,0
2102007,Netherlands 2007,210,NTH,Netherlands,2007,Western Europe,Europe,21001,1,1,Democracy,Democracy,63,63,NA,NA,NA,Jan Peter Balkenende,0,,0,0,0
2102008,Netherlands 2008,210,NTH,Netherlands,2008,Western Europe,Europe,21001,1,1,Democracy,Democracy,64,64,NA,NA,NA,Jan Peter Balkenende,0,,0,0,0
2102009,Netherlands 2009,210,NTH,Netherlands,2009,Western Europe,Europe,21001,1,1,Democracy,Democracy,65,65,NA,NA,NA,Jan Peter Balkenende,0,,0,0,0
2102010,Netherlands 2010,210,NTH,Netherlands,2010,Western Europe,Europe,21001,1,1,Democracy,Democracy,66,66,NA,NA,NA,Mark Rutte,0,,0,0,0
2102011,Netherlands 2011,210,NTH,Netherlands,2011,Western Europe,Europe,21001,1,1,Democracy,Democracy,67,67,NA,NA,NA,Mark Rutte,0,,0,0,0
2102012,Netherlands 2012,210,NTH,Netherlands,2012,Western Europe,Europe,21001,1,1,Democracy,Democracy,68,68,NA,NA,NA,Mark Rutte,0,,0,0,0
2111950,Belgium 1950,211,BEL,Belgium,1950,Western Europe,Europe,21101,1,1,Democracy,Democracy,121,120,NA,NA,NA,Joseph Pholien,0,10.04.1830,0,0,0
2111951,Belgium 1951,211,BEL,Belgium,1951,Western Europe,Europe,21101,1,1,Democracy,Democracy,122,121,NA,NA,NA,Joseph Pholien,0,,0,0,0
2111952,Belgium 1952,211,BEL,Belgium,1952,Western Europe,Europe,21101,1,1,Democracy,Democracy,123,122,NA,NA,NA,Jean van Houtte,0,,0,0,0
2111953,Belgium 1953,211,BEL,Belgium,1953,Western Europe,Europe,21101,1,1,Democracy,Democracy,124,123,NA,NA,NA,Jean van Houtte,0,,0,0,0
2111954,Belgium 1954,211,BEL,Belgium,1954,Western Europe,Europe,21101,1,1,Democracy,Democracy,125,124,NA,NA,NA,Achille van Acker,0,,0,0,0
2111955,Belgium 1955,211,BEL,Belgium,1955,Western Europe,Europe,21101,1,1,Democracy,Democracy,126,125,NA,NA,NA,Achille van Acker,0,,0,0,0
2111956,Belgium 1956,211,BEL,Belgium,1956,Western Europe,Europe,21101,1,1,Democracy,Democracy,127,126,NA,NA,NA,Achille van Acker,0,,0,0,0
2111957,Belgium 1957,211,BEL,Belgium,1957,Western Europe,Europe,21101,1,1,Democracy,Democracy,128,127,NA,NA,NA,Achille van Acker,0,,0,0,0
2111958,Belgium 1958,211,BEL,Belgium,1958,Western Europe,Europe,21101,1,1,Democracy,Democracy,129,128,NA,NA,NA,Gaston Eyskens,0,,0,0,0
2111959,Belgium 1959,211,BEL,Belgium,1959,Western Europe,Europe,21101,1,1,Democracy,Democracy,130,129,NA,NA,NA,Gaston Eyskens,0,,0,0,0
2111960,Belgium 1960,211,BEL,Belgium,1960,Western Europe,Europe,21101,1,1,Democracy,Democracy,131,130,NA,NA,NA,Gaston Eyskens,0,,0,0,0
2111961,Belgium 1961,211,BEL,Belgium,1961,Western Europe,Europe,21101,1,1,Democracy,Democracy,132,131,NA,NA,NA,Theodore Lefevre,0,,0,0,0
2111962,Belgium 1962,211,BEL,Belgium,1962,Western Europe,Europe,21101,1,1,Democracy,Democracy,133,132,NA,NA,NA,Theodore Lefevre,0,,0,0,0
2111963,Belgium 1963,211,BEL,Belgium,1963,Western Europe,Europe,21101,1,1,Democracy,Democracy,134,133,NA,NA,NA,Theodore Lefevre,0,,0,0,0
2111964,Belgium 1964,211,BEL,Belgium,1964,Western Europe,Europe,21101,1,1,Democracy,Democracy,135,134,NA,NA,NA,Theodore Lefevre,0,,0,0,0
2111965,Belgium 1965,211,BEL,Belgium,1965,Western Europe,Europe,21101,1,1,Democracy,Democracy,136,135,NA,NA,NA,Pierre Harmel,0,,0,0,0
2111966,Belgium 1966,211,BEL,Belgium,1966,Western Europe,Europe,21101,1,1,Democracy,Democracy,137,136,NA,NA,NA,Paul van den Boeynants,0,,0,0,0
2111967,Belgium 1967,211,BEL,Belgium,1967,Western Europe,Europe,21101,1,1,Democracy,Democracy,138,137,NA,NA,NA,Paul van den Boeynants,0,,0,0,0
2111968,Belgium 1968,211,BEL,Belgium,1968,Western Europe,Europe,21101,1,1,Democracy,Democracy,139,138,NA,NA,NA,Gaston Eyskens,0,,0,0,0
2111969,Belgium 1969,211,BEL,Belgium,1969,Western Europe,Europe,21101,1,1,Democracy,Democracy,140,139,NA,NA,NA,Gaston Eyskens,0,,0,0,0
2111970,Belgium 1970,211,BEL,Belgium,1970,Western Europe,Europe,21101,1,1,Democracy,Democracy,141,140,NA,NA,NA,Gaston Eyskens,0,,0,0,0
2111971,Belgium 1971,211,BEL,Belgium,1971,Western Europe,Europe,21101,1,1,Democracy,Democracy,142,141,NA,NA,NA,Gaston Eyskens,0,,0,0,0
2111972,Belgium 1972,211,BEL,Belgium,1972,Western Europe,Europe,21101,1,1,Democracy,Democracy,143,142,NA,NA,NA,Gaston Eyskens,0,,0,0,0
2111973,Belgium 1973,211,BEL,Belgium,1973,Western Europe,Europe,21101,1,1,Democracy,Democracy,144,143,NA,NA,NA,Edmond Leburton,0,,0,0,0
2111974,Belgium 1974,211,BEL,Belgium,1974,Western Europe,Europe,21101,1,1,Democracy,Democracy,145,144,NA,NA,NA,Leo Tindemans,0,,0,0,0
2111975,Belgium 1975,211,BEL,Belgium,1975,Western Europe,Europe,21101,1,1,Democracy,Democracy,146,145,NA,NA,NA,Leo Tindemans,0,,0,0,0
2111976,Belgium 1976,211,BEL,Belgium,1976,Western Europe,Europe,21101,1,1,Democracy,Democracy,147,146,NA,NA,NA,Leo Tindemans,0,,0,0,0
2111977,Belgium 1977,211,BEL,Belgium,1977,Western Europe,Europe,21101,1,1,Democracy,Democracy,148,147,NA,NA,NA,Leo Tindemans,0,,0,0,0
2111978,Belgium 1978,211,BEL,Belgium,1978,Western Europe,Europe,21101,1,1,Democracy,Democracy,149,148,NA,NA,NA,Paul van den Boeynants,0,,0,0,0
2111979,Belgium 1979,211,BEL,Belgium,1979,Western Europe,Europe,21101,1,1,Democracy,Democracy,150,149,NA,NA,NA,Wilfried Martens,0,,0,0,0
2111980,Belgium 1980,211,BEL,Belgium,1980,Western Europe,Europe,21101,1,1,Democracy,Democracy,151,150,NA,NA,NA,Wilfried Martens,0,,0,0,0
2111981,Belgium 1981,211,BEL,Belgium,1981,Western Europe,Europe,21101,1,1,Democracy,Democracy,152,151,NA,NA,NA,Wilfried Martens,0,,0,0,0
2111982,Belgium 1982,211,BEL,Belgium,1982,Western Europe,Europe,21101,1,1,Democracy,Democracy,153,152,NA,NA,NA,Wilfried Martens,0,,0,0,0
2111983,Belgium 1983,211,BEL,Belgium,1983,Western Europe,Europe,21101,1,1,Democracy,Democracy,154,153,NA,NA,NA,Wilfried Martens,0,,0,0,0
2111984,Belgium 1984,211,BEL,Belgium,1984,Western Europe,Europe,21101,1,1,Democracy,Democracy,155,154,NA,NA,NA,Wilfried Martens,0,,0,0,0
